club,address,link,site
 The Sanctuary,"59 Dumbarton Road, G11 6PD",/club.aspx?id=82990,http://www.thesanctuaryglasgow.com
 The Ark,42 North Frederick Street; G12BG; Scotland,/club.aspx?id=30171,None
 Hummingbird,186 Bath Street; G2 4HG; Scotland,/club.aspx?id=16526,None
 November,"Princes Square Shopping Centre, 48 Buchanan Street; G1 3JX; Scotland",/club.aspx?id=4928,None
 The Halt Bar,160 Woodlands Road;  G3 6LF; Scotland,/club.aspx?id=10015,http://www.myspace.com/haltbarhijack
 Club Action,"Sauchiehall Lane (Between Elmbank & Holland Street), G2 3HU",/club.aspx?id=106902,http://www.loveaction.co
 The Courtyard,84-86 West Nile Street;  G1 2QH; Scotland,/club.aspx?id=9853,None
 Riverside Museum,"100 Pointhouse Place, G3 8RS",/club.aspx?id=79540,http://www.glasgowlife.org.uk/museums/our-museums/riverside-museum
 The Panther Milk Bar,"Mitchell Lane, G1 3NU",/club.aspx?id=102025,https://www.facebook.com/panthermilkbar
 Oran Mor,731 Great Western Road; G12 8QX; Scotland,/club.aspx?id=33145,None
 Stairway Club,95 Union Street,/club.aspx?id=64996,http://www.stairwayclub.co.uk/
 O2 ABC Glasgow 2,300 Sauchiehall Street; G2 3JA; Scotland,/club.aspx?id=8026,http://www.abcglasgow.com
 The Berkeley Suite,237 North Street; G3 7DL,/club.aspx?id=53708,http://www.berkeleysuite.com/
 Mansion House,"20 Glassford Street, G1 1UL",/club.aspx?id=42881,http://www.mansionhouseglasgow.com/
 Pentagon Centre,"30 Washington Street, G3 8AZ",/club.aspx?id=66883,None
 The Old Fruitmarket,Candleriggs; G11NQ; Scotland,/club.aspx?id=8546,http://glasgowconcerthalls.com
 The Roxy 171,"171 Great Western Road, G4 9AW",/club.aspx?id=58549,http://www.theroxy171.co.uk
 The Waverley, Science Centre Dock; G51 1EA; Scotland,/club.aspx?id=32895,None
 Maggie May's,60 Trongate; G1 5EP; Scotland,/club.aspx?id=6369,None
 Various Venues Glasgow,", G1, UK",/club.aspx?id=114080,http://subclub.co.uk
 Basura Blanca,"106 -108 Brunswick Street, G1 1TF",/club.aspx?id=71487,http://www.brunswickhotel.co.uk/
 Blackfriars Basement,45 Albion Street; G1 1LG; Scotland,/club.aspx?id=7921,None
 The Ferry,25 Anderston Quay; G5 8BX; Scotland,/club.aspx?id=10413,http://www.the-ferry.co.uk
 Hush Nightclub,1-3 Church St Coatbridge,/club.aspx?id=77722,None
